Compound;DrugClass;InChIKey;InChIKeyShort;SMILES
Flunitrazepam;Benzodiazepines;PPTYJKAXVCCBDU-UHFFFAOYSA-N;PPTYJKAXVCCBDU;O=C1N(C)C2=CC=C([N+]([O-])=O)C=C2C(C3=CC=CC=C3F)=NC1
Flunitrazolam;Benzodiazepines;RDLAGIOILLWVTM-UHFFFAOYSA-N;RDLAGIOILLWVTM;FC1=C(C=CC=C1)C1=NCC2=NN=C(N2C2=CC=C(C=C12)[N+](=O)[O-])C
Fluoropentyl-norcarfentanil;Opioids;GOHUCAAMBKDPBP-UHFFFAOYSA-N;GOHUCAAMBKDPBP;FCCCCCN1CCC(CC1)(C(=O)OC)N(C(CC)=O)C1=CC=CC=C1
Flurazepam;Benzodiazepines;SAADBVWGJQAEFS-UHFFFAOYSA-N;SAADBVWGJQAEFS;ClC=1C=CC2=C(C(=NCC(N2CCN(CC)CC)=O)C2=C(C=CC=C2)F)C1
Flutazolam;Benzodiazepines;WMFSSTNVXWNLKI-UHFFFAOYSA-N;WMFSSTNVXWNLKI;ClC=1C=CC2=C(C3(N(CC(N2CCO)=O)CCO3)C3=C(C=CC=C3)F)C1
Flutemazepam;Benzodiazepines;RMFYWNFETXNTIQ-UHFFFAOYSA-N;RMFYWNFETXNTIQ;ClC=1C=CC2=C(C(=NC(C(N2C)=O)O)C2=C(C=CC=C2)F)C1
Flutoprazepam;Benzodiazepines;OFVXPDXXVSGEPX-UHFFFAOYSA-N;OFVXPDXXVSGEPX;ClC=1C=CC2=C(C(=NCC(N2CC2CC2)=O)C2=C(C=CC=C2)F)C1
Formetorex;Phenethylamines;SGSYPSYCGPLSML-UHFFFAOYSA-N;SGSYPSYCGPLSML;O=CNC(C)CC1=CC=CC=C1
Fosazepam;Benzodiazepines;JMYCGCXYZZHWMO-UHFFFAOYSA-N;JMYCGCXYZZHWMO;O=C1N(CP(C)(C)=O)C2=CC=C(Cl)C=C2C(C3=CC=CC=C3)=NC1
FUB-144;Cannabinoids;UXOFEILQVZFLRH-UHFFFAOYSA-N;UXOFEILQVZFLRH;FC1=CC=C(CN2C=C(C3=CC=CC=C23)C(=O)C2C(C2(C)C)(C)C)C=C1
FUB-AKB-48;Cannabinoids;MWBHSNBPUSKVDD-LPSAYFBNSA-N;MWBHSNBPUSKVDD;O=C(C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)NC45C[C@H]6C[C@](C5)([H])C[C@@](C6)([H])C4
FUB-AMB;Cannabinoids;FRFFLYJQPCIIQB-SFHVURJKSA-N;FRFFLYJQPCIIQB;FC1=CC=C(C=C1)CN1N=C(C2=CC=CC=C12)C(=O)N[C@H](C(=O)OC)C(C)C
FUBIMINA;Cannabinoids;KUESSZMROAFKQJ-UHFFFAOYSA-N;KUESSZMROAFKQJ;O=C(C1=NC2=CC=CC=C2N1CCCCCF)C3=C4C=CC=CC4=CC=C3
FUBIMINA N-pentanoic acid;Cannabinoids;WDHXEBUJPILWFI-UHFFFAOYSA-N;WDHXEBUJPILWFI;O=C(O)CCCCN1C(C(C2=C3C=CC=CC3=CC=C2)=O)=NC4=CC=CC=C14
FUB-JWH-018;Cannabinoids;VREQTLWJHFQLEX-UHFFFAOYSA-N;VREQTLWJHFQLEX;O=C(C1=CC=CC2=C1C=CC=C2)C3=CN(CC4=CC=C(F)C=C4)C5=CC=CC=C53
FUB-NPB-22;Cannabinoids;NYHGKZZRRCVGAU-UHFFFAOYSA-N;NYHGKZZRRCVGAU;O=C(C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)OC4=C5N=CC=CC5=CC=C4
FUB-PB-22;Cannabinoids;ROHVURVXAOMRJY-UHFFFAOYSA-N;ROHVURVXAOMRJY;O=C(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)OC4=C5N=CC=CC5=CC=C4
FUB-PB-22 3-Carboxyindole;Cannabinoids;MRLLPLNNVZERDA-UHFFFAOYSA-N;MRLLPLNNVZERDA;O=C(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)O
Furan-3-ylfentanyl;Opioids;AEDOTOMIDAMDFC-UHFFFAOYSA-N;AEDOTOMIDAMDFC;C1(=CC=CC=C1)N(C(=O)C1=COC=C1)C1CCN(CC1)CCC1=CC=CC=C1
Furanyl benzyl fentanyl;Opioids;GDPJXHFICUEJBT-UHFFFAOYSA-N;GDPJXHFICUEJBT;C(C1=CC=CC=C1)N1CCC(CC1)N(C(=O)C=1OC=CC1)C1=CC=CC=C1
Furanyl norfentanyl;Opioids;DDSUGTXSJFAMIM-UHFFFAOYSA-N;DDSUGTXSJFAMIM;C1(=CC=CC=C1)N(C(=O)C=1OC=CC1)C1CCNCC1
Furanyl UF-17;Opioids;OSFBKUBOZUWERW-UHFFFAOYSA-N;OSFBKUBOZUWERW;O=C(C1=CC=CO1)N(C2C(N(C)C)CCCC2)C3=CC=CC=C3
Furanylethylfentanyl;Opioids;AFTQVAQNGJXATO-UHFFFAOYSA-N;AFTQVAQNGJXATO;CCC(N(C1CCN(CCC2=CC=CO2)CC1)C3=CC=CC=C3)=O
Furanylfentanyl;Opioids;FZJVHWISUGFFQV-UHFFFAOYSA-N;FZJVHWISUGFFQV;C1(=CC=CC=C1)N(C(=O)C=1OC=CC1)C1CCN(CC1)CCC1=CC=CC=C1
FXE;Arylcyclohexylamines;FCETYWCLCUZFJI-UHFFFAOYSA-N;FCETYWCLCUZFJI;C(C)NC1(C(CCCC1)=O)C1=CC(=CC=C1)F
G-130;Unknown;KJUOROGOOZJYAI-UHFFFAOYSA-N;KJUOROGOOZJYAI;CC1(C)COC(C2=CC=CC=C2)CN1
Gabapentin;Unknown;UGJMXCAKCUNAIE-UHFFFAOYSA-N;UGJMXCAKCUNAIE;O=C(O)CC1(CN)CCCCC1
Gacyclidine;Arylcyclohexylamines;DKFAAPPUYWQKKF-GOEBONIOSA-N;DKFAAPPUYWQKKF;C[C@@H]1[C@](CCCC1)(C=1SC=CC1)N1CCCCC1
Gidazepam;Benzodiazepines;XLGCMZLSEXRBSG-UHFFFAOYSA-N;XLGCMZLSEXRBSG;BrC1=CC2=C(C=C1)N(CC(NN)=O)C(CN=C2C3=CC=CC=C3)=O
Glaucine;Plants & extracts;RUZIUYOSRDWYQF-HNNXBMFYSA-N;RUZIUYOSRDWYQF;CN1CCC2=CC(OC)=C(OC)C3=C2[C@]1([H])CC4=CC(OC)=C(OC)C=C34
Glycinexylidide;Unknown;IXYVBZOSGGJWCW-UHFFFAOYSA-N;IXYVBZOSGGJWCW;CC1=C(C(=CC=C1)C)NC(=O)CN
GTS-21;Piperidines & pyrrolidines;RPYWXZCFYPVCNQ-RVDMUPIBSA-N;RPYWXZCFYPVCNQ;COC1=CC=C(/C=C2C(C3=CC=CN=C3)=NCCC/2)C(OC)=C1
Halazepam;Benzodiazepines;WYCLKVQLVUQKNZ-UHFFFAOYSA-N;WYCLKVQLVUQKNZ;ClC=1C=CC2=C(C(=NCC(N2CC(F)(F)F)=O)C2=CC=CC=C2)C1
Haloxazolam;Benzodiazepines;XDKCGKQHVBOOHC-UHFFFAOYSA-N;XDKCGKQHVBOOHC;BrC=1C=CC2=C(C3(N(CC(N2)=O)CCO3)C3=C(C=CC=C3)F)C1
Harmaline;Plants & extracts;RERZNCLIYCABFS-UHFFFAOYSA-N;RERZNCLIYCABFS;CC1=NCCC2=C1NC3=C2C=CC(OC)=C3
Harmine;Plants & extracts;BXNJHAXVSOCGBA-UHFFFAOYSA-N;BXNJHAXVSOCGBA;CC1=NC=CC2=C1NC3=C2C=CC(OC)=C3
HDEP-28;Piperidines & pyrrolidines;OTQVTBPHZRARTL-UHFFFAOYSA-N;OTQVTBPHZRARTL;O=C(OCC)C(C1=CC=C2C=CC=CC2=C1)C3NCCCC3
HDMP-28;Piperidines & pyrrolidines;DNRNSIJBSCBESJ-UHFFFAOYSA-N;DNRNSIJBSCBESJ;O=C(OC)C(C1=CC=C2C=CC=CC2=C1)C3NCCCC3
Hexanoyl Fentanyl;Opioids;PWKBFVCAQVONRR-UHFFFAOYSA-N;PWKBFVCAQVONRR;CCCCCC(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O
Hexedrone;Cathinones;BHIZKPHLTVLXIV-UHFFFAOYSA-N;BHIZKPHLTVLXIV;CCCCC(NC)C(C1=CC=CC=C1)=O
HMA;Phenethylamines;GPBOYXOSSQEJBH-UHFFFAOYSA-N;GPBOYXOSSQEJBH;OC1=CC=C(CC(N)C)C=C1OC
Homarylamine;Phenethylamines;OPJOMVMFYOUDPK-UHFFFAOYSA-N;OPJOMVMFYOUDPK;CNCCC1=CC=C(OCO2)C2=C1
Hordenine;Phenethylamines;KUBCEEMXQZUPDQ-UHFFFAOYSA-N;KUBCEEMXQZUPDQ;OC1=CC=C(CCN(C)C)C=C1
HOT-2;Phenethylamines;XGFJCRNRWOXGQM-UHFFFAOYSA-N;XGFJCRNRWOXGQM;C(C)SC1=CC(=C(C=C1OC)CCNO)OC
HOT-7;Phenethylamines;ASTNLROMDNGJLS-UHFFFAOYSA-N;ASTNLROMDNGJLS;COC1=C(C=C(C(=C1)SCCC)OC)CCNO
HU-210;Cannabinoids;SSQJFGMEZBFMNV-PMACEKPBSA-N;SSQJFGMEZBFMNV;OC1=CC(C(CCCCCC)(C)C)=CC2=C1[C@@](CC(CO)=CC3)([H])[C@]3([H])C(C)(C)O2
HU-308;Cannabinoids;CFMRIVODIXTERW-BHIFYINESA-N;CFMRIVODIXTERW;OCC1=C[C@@H](C2=C(OC)C=C(C(CCCCCC)(C)C)C=C2OC)[C@@]3([H])C[C@]1([H])C3(C)C
HU-331;Cannabinoids;WDXXEUARVHTWQF-DLBZAZTESA-N;WDXXEUARVHTWQF;O=C(C(CCCCC)=C1)C(O)=C([C@@H]2C=C(C)CCC2C(C)=C)C1=O
Hydrocodone;Opioids;LLPOLZWFYMWNKH-CMKMFDCUSA-N;LLPOLZWFYMWNKH;CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4
Hydromorphone;Opioids;WVLOADHCBXTIJK-YNHQPCIGSA-N;WVLOADHCBXTIJK;[H][C@@]12OC3=C(O)C=CC4=C3[C@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
Hydroxetamine;Arylcyclohexylamines;CQERUJSORROCGH-UHFFFAOYSA-N;CQERUJSORROCGH;C(C)NC1(C(CCCC1)=O)C1=CC(=CC=C1)O
Hydroxybupropion;Cathinones;AKOAEVOSDHIVFX-UHFFFAOYSA-N;AKOAEVOSDHIVFX;CC(NC(C)(C)CO)C(=O)C1=CC(Cl)=CC=C1
Hydroxyethylflurazepam;Benzodiazepines;FOCBRQQHNOKOJQ-UHFFFAOYSA-N;FOCBRQQHNOKOJQ;C1C(=O)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CCO
Hydroxy-THC;Cannabinoids;YCBKSSAWEUDACY-UHFFFAOYSA-N;YCBKSSAWEUDACY;CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)CO)O
Ibogaine;Plants & extracts;HSIBGVUMFOSJPD-CFDPKNGZSA-N;HSIBGVUMFOSJPD;COC1=CC2=C(NC3=C2CCN4C5C3CC(C4)CC5CC)C=C1
Iclazepam;Benzodiazepines;PLRHQQPBNXIHAZ-UHFFFAOYSA-N;PLRHQQPBNXIHAZ;ClC=1C=CC2=C(C(=NCC(N2CCOCC2CC2)=O)C2=CC=CC=C2)C1
IDRA-21;Unknown;VZRNTCHTJRLTMU-UHFFFAOYSA-N;VZRNTCHTJRLTMU;CC(NC1=CC=C(Cl)C=C12)NS2(=O)=O
Indane;Unknown;PQNFLJBBNBOBRQ-UHFFFAOYSA-N;PQNFLJBBNBOBRQ;C12=C(CCC2)C=CC=C1
iPDMB-FUBINACA;Cannabinoids;PGZWSBQXIISUMA-OAQYLSRUSA-N;PGZWSBQXIISUMA;FC1=CC=C(CN2N=C(C3=CC=CC=C23)C(=O)N[C@H](C(=O)OC(C)C)C(C)(C)C)C=C1
IPO-33;Cannabinoids;KXUDJKTYZVHPKM-UHFFFAOYSA-N;KXUDJKTYZVHPKM;C(CCCC)N1N=C(C2=CC=CC=C12)C(CC1=CC=CC=C1)=O
iPRONE;Cathinones;ZGELXFOIEWJEFM-UHFFFAOYSA-N;ZGELXFOIEWJEFM;CC(NC(C)C)C(C1=CC=C(OCO2)C2=C1)=O
Iso-3-CMC;Unknown;CRNFRDNGAHBKFB-UHFFFAOYSA-N;CRNFRDNGAHBKFB;ClC=1C=C(C=CC1)C(C(C)=O)NC
Isobutyl-PINAC;Cannabinoids;VVICSADAODYLRT-UHFFFAOYSA-N;VVICSADAODYLRT;C(CCCC)N1N=C(C2=CC=CC=C12)C(=O)OCC(C)C
Isobutyryl norfentanyl;Opioids;ULIMTJITWAXNBB-UHFFFAOYSA-N;ULIMTJITWAXNBB;CC(C)C(N(C1=CC=CC=C1)C2CCNCC2)=O
Isobutyrylfentanyl;Opioids;WRPFPNIHTOSMKU-UHFFFAOYSA-N;WRPFPNIHTOSMKU;CC(C)C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O
Isocarfentanil;Opioids;ICJRJLQXLMKEML-UHFFFAOYSA-N;ICJRJLQXLMKEML;C1(=CC=CC=C1)CCN1CC(C(CC1)N(C(CC)=O)C1=CC=CC=C1)C(=O)OC
Iso-ethcathinone;Cathinones;GHVCNLDRNVGRJP-UHFFFAOYSA-N;GHVCNLDRNVGRJP;CC(C(NCC)C1=CC=CC=C1)=O
Isohexedrone;Cathinones;VUULEVJMDBOEPP-UHFFFAOYSA-N;VUULEVJMDBOEPP;CC(CC(C(=O)C1=CC=CC=C1)NC)C
Isohexylone;Cathinones;QGIZGJMDLJAAJI-UHFFFAOYSA-N;QGIZGJMDLJAAJI;CC(C)CC(NC)C(C1=CC=C(OCO2)C2=C1)=O
Isopentedrone;Cathinones;ILGRTMNCRBDXBI-UHFFFAOYSA-N;ILGRTMNCRBDXBI;CCCC(C(NC)C1=CC=CC=C1)=O
Isophenmetrazine;Unknown;LQHGEOIBMBXJGV-UHFFFAOYSA-N;LQHGEOIBMBXJGV;CC1COC(C2=CC=CC=C2)CN1
Isopropylphenidate;Piperidines & pyrrolidines;AZVPADMEIMLODT-UHFFFAOYSA-N;AZVPADMEIMLODT;C1(=CC=CC=C1)C(C(=O)OC(C)C)C2CCCCN2
Isopropyl-U-47700;Opioids;LGYQSYWASFBSHJ-UHFFFAOYSA-N;LGYQSYWASFBSHJ;ClC=1C=C(C(=O)N(C(C)C)C2C(CCCC2)N(C)C)C=CC1Cl
Isotodesnitazene;Opioids;MXCQZQAWFBUAJT-UHFFFAOYSA-N;MXCQZQAWFBUAJT;C(C)N(CCN1C(=NC2=C1C=CC=C2)CC2=CC=C(C=C2)OC(C)C)CC
Isotonitazene;Opioids;OIOQREYBGDAYGT-UHFFFAOYSA-N;OIOQREYBGDAYGT;C(C)N(CCN1C(=NC2=C1C=CC(=C2)[N+](=O)[O-])CC2=CC=C(C=C2)OC(C)C)CC
Isovaleroylfentanyl;Opioids;HQXKBEMWVAZFPK-UHFFFAOYSA-N;HQXKBEMWVAZFPK;CC(CC(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1)C
JTE-907;Cannabinoids;GRAJFFFXJYFVOC-UHFFFAOYSA-N;GRAJFFFXJYFVOC;O=C(C1=CC2=C(NC1=O)C(OCCCCC)=C(OC)C=C2)NCC3=CC=C(OCO4)C4=C3
JWH 073 4-hydroxyindole metabolite;Cannabinoids;DKIVMJXJKHHIRO-UHFFFAOYSA-N;DKIVMJXJKHHIRO;O=C(C1=CN(CCCC)C2=C1C(O)=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH 073 5-hydroxyindole metabolite;Cannabinoids;JZGAGMUTAYXMMJ-UHFFFAOYSA-N;JZGAGMUTAYXMMJ;O=C(C1=CN(CCCC)C2=C1C=C(O)C=C2)C3=C4C=CC=CC4=CC=C3
JWH 184;Cannabinoids;FSOLXFPDIJJWBM-UHFFFAOYSA-N;FSOLXFPDIJJWBM;CC1=CC=C(C2=CC=CC=C12)CC1=CN(C2=CC=CC=C12)CCCCC
JWH 307 3-isomer;Cannabinoids;UYJFMGFYDZRBMH-UHFFFAOYSA-N;UYJFMGFYDZRBMH;O=C(C1=CN(CCCCC)C=C1C2=CC=CC=C2F)C3=C4C=CC=CC4=CC=C3
JWH 412 N-(5-hydroxypentyl) metabolite;Cannabinoids;JIQKZFCDBLYORO-UHFFFAOYSA-N;JIQKZFCDBLYORO;O=C(C1=C2C=CC=CC2=C(F)C=C1)C3=CN(CCCCCO)C4=C3C=CC=C4
JWH-004;Cannabinoids;RVLXSTGARMINHX-UHFFFAOYSA-N;RVLXSTGARMINHX;O=C(C1=C(C)N(CCCCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-007;Cannabinoids;IBBNKINXTRKICJ-UHFFFAOYSA-N;IBBNKINXTRKICJ;CC=1N(C2=CC=CC=C2C1C(=O)C1=CC=CC2=CC=CC=C12)CCCCC
JWH-007 (5-OH-Pentyl);Cannabinoids;OPZQEKUQARRISG-UHFFFAOYSA-N;OPZQEKUQARRISG;O=C(C1=C(C)N(CCCCCO)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-007 (N-Pentanoic acid);Cannabinoids;JQQAGKPROYKDMC-UHFFFAOYSA-N;JQQAGKPROYKDMC;C1(=CC=CC2=CC=CC=C12)C(=O)C1=C(N(C2=CC=CC=C12)CCCCC(=O)O)C
JWH-011;Cannabinoids;HVIWIQFCDXFBDK-UHFFFAOYSA-N;HVIWIQFCDXFBDK;CCCCCC(C)N1C(C)=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C12
JWH-015;Cannabinoids;LJSBBBWQTLXQEN-UHFFFAOYSA-N;LJSBBBWQTLXQEN;O=C(C1=C(C)N(CCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-016;Cannabinoids;QKXRHYJSCZFHEK-UHFFFAOYSA-N;QKXRHYJSCZFHEK;O=C(C1=C(C)N(CCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-018;Cannabinoids;JDNLPKCAXICMBW-UHFFFAOYSA-N;JDNLPKCAXICMBW;CCCCCN1C=C(C(C2=C3C=CC=CC3=CC=C2)=O)C4=C1C=CC=C4
JWH-018 (2-OH-indole);Cannabinoids;LSYJCVSGIQLLKF-UHFFFAOYSA-N;LSYJCVSGIQLLKF;O=C(C1=C(O)N(CCCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-018 (2-OH-Pentyl);Cannabinoids;ICOUPJBNCNTOKV-UHFFFAOYSA-N;ICOUPJBNCNTOKV;OC(CN1C=C(C2=CC=CC=C12)C(=O)C1=CC=CC2=CC=CC=C12)CCC
JWH-018 (3-OH-Pentyl);Cannabinoids;VSFMJFFDYLVSBU-UHFFFAOYSA-N;VSFMJFFDYLVSBU;OC(CCN1C=C(C2=CC=CC=C12)C(=O)C1=CC=CC2=CC=CC=C12)CC
JWH-018 (4-OH-indole);Cannabinoids;DFIOKCGWOUDFRF-UHFFFAOYSA-N;DFIOKCGWOUDFRF;O=C(C1=CN(CCCCC)C2=C1C(O)=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-018 (4-oxo-Pentyl);Cannabinoids;XOOFWSKEHUVEJD-UHFFFAOYSA-N;XOOFWSKEHUVEJD;C1(=CC=CC2=CC=CC=C12)C(=O)C1=CN(C2=CC=CC=C12)CCCC(C)=O
JWH-018 (5-OH-indole);Cannabinoids;GMOJICNPAPPCSR-UHFFFAOYSA-N;GMOJICNPAPPCSR;O=C(C1=CN(CCCCC)C2=C1C=C(O)C=C2)C3=C4C=CC=CC4=CC=C3
JWH-018 (5-OH-Pentyl-Glucuronide);Cannabinoids;MRLKIVNZXCRDEV-NEOPOEGOSA-N;MRLKIVNZXCRDEV;C1(=CC=CC2=CC=CC=C12)C(=O)C1=CN(C2=CC=CC=C12)CCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O
JWH-018 (6-OH-indole);Cannabinoids;OTRCAWIVHSQWPC-UHFFFAOYSA-N;OTRCAWIVHSQWPC;O=C(C1=CN(CCCCC)C2=C1C=CC(O)=C2)C3=C4C=CC=CC4=CC=C3
JWH-018 (7-OH-indole);Cannabinoids;OHAPOWHHSCCXIL-UHFFFAOYSA-N;OHAPOWHHSCCXIL;O=C(C1=CN(CCCCC)C2=C1C=CC=C2O)C3=C4C=CC=CC4=CC=C3
JWH-018 6-Methoxyindole Analogue;Cannabinoids;LQWPINYSBSBWIN-UHFFFAOYSA-N;LQWPINYSBSBWIN;CCCCCN1C2=CC(OC)=CC=C2C(C(C3=CC=CC4=C3C=CC=C4)=O)=C1
JWH-018 8-Quinolinyl Carboxamide;Cannabinoids;LSDZETPTKCENTH-UHFFFAOYSA-N;LSDZETPTKCENTH;CCCCCN1C=C(C(O)=NC2=CC=CC3=C2N=CC=C3)C2=CC=CC=C12
JWH-018 Benzimidazole Analogue;Cannabinoids;ZJWSSWFQIOEVCU-UHFFFAOYSA-N;ZJWSSWFQIOEVCU;O=C(C1=C(C=CC=C2)C2=CC=C1)C3=NC4=C(C=CC=C4)N3CCCCC
JWH-018 methylderivate (2-methylnaphthalene;Cannabinoids;JFJAWRDBCAFLQA-UHFFFAOYSA-N;JFJAWRDBCAFLQA;O=C(C1=C2C=CC=CC2=CC=C1C)C3=CN(CCCCC)C4=C3C=CC=C4
JWH-018 N-(1,1-Dimethylpropyl) Isomer;Cannabinoids;RAHXKESFWHOCTB-UHFFFAOYSA-N;RAHXKESFWHOCTB;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(C(C)(C)CC)C4=C3C=CC=C4
JWH-018 N-(4,5-Epoxypentyl) Analogue;Cannabinoids;WWVMNUMWFUXVSG-UHFFFAOYSA-N;WWVMNUMWFUXVSG;O=C(C1=CN(CCCC2OC2)C3=C1C=CC=C3)C4=C5C(C=CC=C5)=CC=C4
JWH-018 N-(4-hydroxypentyl) metabolite;Cannabinoids;LLFBQQHYZJTRAS-UHFFFAOYSA-N;LLFBQQHYZJTRAS;O=C(C1=CN(CCCC(O)C)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-018 N-(5-Bromopentyl) Analogue;Cannabinoids;QDWNXDILPHVKLY-UHFFFAOYSA-N;QDWNXDILPHVKLY;O=C(C1=CC=CC2=C1C=CC=C2)C3=CN(CCCCCBr)C4=CC=CC=C43
JWH-018 N-(5-Chloropentyl) Analogue;Cannabinoids;NZQRTHJPVKPTBV-UHFFFAOYSA-N;NZQRTHJPVKPTBV;O=C(C1=CN(CCCCCCl)C2=C1C=CC=C2)C3=C4C(C=CC=C4)=CC=C3
JWH-018 N-(5-hydroxypentyl) metabolite;Cannabinoids;UGHBAICDASCCIQ-UHFFFAOYSA-N;UGHBAICDASCCIQ;O=C(C1=CN(CCCCCO)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-018 N-pentanoic acid;Cannabinoids;BYIVGHIYNFQIJX-UHFFFAOYSA-N;BYIVGHIYNFQIJX;C1(=CC=CC2=CC=CC=C12)C(=O)C1=CN(C2=CC=CC=C12)CCCCC(=O)O
JWH-018-1-Methyl-Hexyl;Cannabinoids;WWZDXYHAWGBOCG-UHFFFAOYSA-N;WWZDXYHAWGBOCG;O=C(C1=CN(C(CCCCC)C)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-019;Cannabinoids;PALJPGHWDUHUPO-UHFFFAOYSA-N;PALJPGHWDUHUPO;O=C(C1=CN(CCCCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-019 (5-OH-indole);Cannabinoids;VEOUPNIXKBJMFF-UHFFFAOYSA-N;VEOUPNIXKBJMFF;C(CCCCC)N1C=C(C2=CC(=CC=C12)O)C(=O)C1=CC=CC2=CC=CC=C12
JWH-019 (6-OH-Hexyl);Cannabinoids;LBVZVDUWOZUDJT-UHFFFAOYSA-N;LBVZVDUWOZUDJT;O=C(C1=CN(CCCCCCO)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-020;Cannabinoids;IHKDUDCDUKFOKK-UHFFFAOYSA-N;IHKDUDCDUKFOKK;O=C(C1=CN(CCCCCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
JWH-022;Cannabinoids;IVVCMEGHVSDGFJ-UHFFFAOYSA-N;IVVCMEGHVSDGFJ;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(CCCC=C)C4=C3C=CC=C4
JWH-030;Cannabinoids;VPBJQDBKZSHCPC-UHFFFAOYSA-N;VPBJQDBKZSHCPC;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(CCCCC)C=C3
JWH-031;Cannabinoids;QTWPXDHMBKIWDK-UHFFFAOYSA-N;QTWPXDHMBKIWDK;CCCCCCN1C=CC(=C1)C(=O)C1=CC=CC2=CC=CC=C12
JWH-047;Cannabinoids;RQWLYQGWFKBOIY-UHFFFAOYSA-N;RQWLYQGWFKBOIY;O=C(C1=C(C)N(CCCC)C2=C1C=CC=C2)C3=C4C=C(C)C=CC4=CC=C3
JWH-048;Cannabinoids;HSGMJSSWGKDWNA-UHFFFAOYSA-N;HSGMJSSWGKDWNA;O=C(C1=C(C)N(CCCCC)C2=C1C=CC=C2)C3=C4C=C(C)C=CC4=CC=C3
JWH-049;Cannabinoids;DYJZDNLKZTWLRP-UHFFFAOYSA-N;DYJZDNLKZTWLRP;O=C(C1=C(C)N(CCCCCC)C2=C1C=CC=C2)C3=C4C=C(C)C=CC4=CC=C3
JWH-050;Cannabinoids;ITUNLTZQUPSIHJ-UHFFFAOYSA-N;ITUNLTZQUPSIHJ;O=C(C1=C(C)N(CCCCCCC)C2=C1C=CC=C2)C3=C4C=C(C)C=CC4=CC=C3
JWH-071;Cannabinoids;DFUBISUWTFPBFB-UHFFFAOYSA-N;DFUBISUWTFPBFB;CCN1C=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C12
JWH-072;Cannabinoids;IVLWWVXVWRIXSS-UHFFFAOYSA-N;IVLWWVXVWRIXSS;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(CCC)C4=C3C=CC=C4
JWH-072 (Acid);Cannabinoids;VCRZMEAJRGIGCT-UHFFFAOYSA-N;VCRZMEAJRGIGCT;O=C(O)CCN1C=C(C(C2=C3C=CC=CC3=CC=C2)=O)C4=C1C=CC=C4
JWH-073;Cannabinoids;VCHHHSMPMLNVGS-UHFFFAOYSA-N;VCHHHSMPMLNVGS;CCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43
JWH-073 (2-methylbutyl) homolog;Cannabinoids;VPSRJWNBSBKXAR-UHFFFAOYSA-N;VPSRJWNBSBKXAR;CC(CN1C=C(C2=CC=CC=C12)C(=O)C1=CC=CC2=CC=CC=C12)CC
JWH-073 (6-OH-indole);Cannabinoids;MDXHTLBJLOYLRK-UHFFFAOYSA-N;MDXHTLBJLOYLRK;O=C(C1=CN(CCCC)C2=C1C=CC(O)=C2)C3=C4C=CC=CC4=CC=C3
JWH-073 2-Methylnaphthyl Analogue;Cannabinoids;DRPAIIWSIJRPFH-UHFFFAOYSA-N;DRPAIIWSIJRPFH;CCCCN1C=C(C2=CC=CC=C21)C(=O)C3=C(C=CC4=CC=CC=C43)C
