Compound,DrugClass,InChIKey,InChIKeyShort,SMILES,Predicted_IE,Low_IE_boundary,High_IE_boundary
Desmetramadol,Opioids,UWJUQVWARXYRCG-UHFFFAOYSA-N,UWJUQVWARXYRCG,CN(C)CC1C(CCCC1)(O)C=1C=C(C=CC1)O,3.186830344293868,2.6359318842554407,3.2092155593143037
Desomorphine,Opioids,LNNWVNGFPYWNQE-GMIGKAJZSA-N,LNNWVNGFPYWNQE,CN1[C@H]2[C@@H]3CCC[C@H]4[C@@]3(C=3C(=C(C=CC3C2)O)O4)CC1,3.6477318383045247,3.0780358645110106,3.6477318383045247
Desoxypipradrol,Piperidines & pyrrolidines,RWTNXJXZVGHMGI-UHFFFAOYSA-N,RWTNXJXZVGHMGI,C1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCCC1,4.1793863981879715,3.4944933931103748,4.1793863981879715
Despropionyl 2'-Fluoro ortho-Fluorofentanyl,Opioids,UBBYFFKICFYDHU-UHFFFAOYSA-N,UBBYFFKICFYDHU,FC1=CC=CC=C1NC2CCN(CCC3=CC=CC=C3F)CC2,4.3676749699305395,3.8569786860353092,4.3676749699305395
Despropionyl 3-fluorofentanyl,Opioids,NDGQTNDWAZPEQV-UHFFFAOYSA-N,NDGQTNDWAZPEQV,FC1=CC(NC2CCN(CCC3=CC=CC=C3)CC2)=CC=C1,4.306046423339445,3.846801367500205,4.306046423339445
Despropionyl 3-Methylfentanyl,Opioids,JQELYMOBBRDROY-UHFFFAOYSA-N,JQELYMOBBRDROY,CC1CN(CCC2=CC=CC=C2)CCC1NC3=CC=CC=C3,4.643814008374749,4.069064023988802,4.643814008374749
Despropionyl meta-Chlorofentanyl,Opioids,PGKHYLYZXSVXTF-UHFFFAOYSA-N,PGKHYLYZXSVXTF,ClC=1C=C(C=CC1)NC1CCN(CC1)CCC1=CC=CC=C1,4.38140011146951,3.9192841792372386,4.38140011146951
Despropionyl ortho-Chlorofentanyl,Opioids,GUDCPDJEQAWBSZ-UHFFFAOYSA-N,GUDCPDJEQAWBSZ,ClC1=C(C=CC=C1)NC1CCN(CC1)CCC1=CC=CC=C1,4.23111323204503,3.727657679796703,4.23111323204503
Despropionyl ortho-Fluorofentanyl,Opioids,WUNLGTOLOUTCPE-UHFFFAOYSA-N,WUNLGTOLOUTCPE,FC1=CC=CC=C1NC2CCN(CCC3=CC=CC=C3)CC2,4.359783292453967,3.865229369047893,4.359783292453967
Despropionyl ortho-Methylfentanyl,Opioids,UQFMMFWGILFTGJ-UHFFFAOYSA-N,UQFMMFWGILFTGJ,CC1=CC=CC=C1NC2CCN(CCC3=CC=CC=C3)CC2,4.57867704614507,3.9958203880629966,4.587629400199276
Despropionyl para-Chlorofentanyl,Opioids,NMTUGGCPTPLYLD-UHFFFAOYSA-N,NMTUGGCPTPLYLD,ClC1=CC=C(C=C1)NC1CCN(CC1)CCC1=CC=CC=C1,4.4073777157299014,3.9307255683160367,4.4073777157299014
Despropionyl para-Fluorobenzylfentanyl,Opioids,GCHCRHBAGFHFMV-UHFFFAOYSA-N,GCHCRHBAGFHFMV,FC1=CC=C(NC2CCN(CC3=CC=CC=C3)CC2)C=C1,4.415407785225974,3.8737295860293055,4.415407785225974
Despropionyl p-fluorofentanyl,Opioids,WWDHLOLWLHHFBH-UHFFFAOYSA-N,WWDHLOLWLHHFBH,FC1=CC=C(NC2CCN(CCC3=CC=CC=C3)CC2)C=C1,4.494566340019476,3.998411148084361,4.494566340019476
Despropionyl Remifentanil,Opioids,ROSYUMIMEUYKDL-UHFFFAOYSA-N,ROSYUMIMEUYKDL,COC(=O)C1(CCN(CC1)CCC(=O)OC)NC1=CC=CC=C1,3.7023117108104806,2.8134543916171566,3.776568592038703
Despropionyl-4-Bromofentanyl,Opioids,PHWAYZMUFKPAIM-UHFFFAOYSA-N,PHWAYZMUFKPAIM,BrC1=CC=C(C=C1)NC1CCN(CC1)CCC1=CC=CC=C1,4.426097124380378,3.952402008200657,4.426097124380378
DET,Indolalkylamines,LSSUMOWDTKZHHT-UHFFFAOYSA-N,LSSUMOWDTKZHHT,CCN(CC)CCC1=CNC2=CC=CC=C12,3.6952239889179004,3.4568876695297517,4.340623032919684
Dextromethorphan,Unknown,MKXZASYAUGDDCJ-NJAFHUGGSA-N,MKXZASYAUGDDCJ,[H][C@]12CC3=C(C=C(OC)C=C3)[C@]3(CCCC[C@]13[H])CCN2C,3.959618211953642,3.4118171026755277,3.959618211953642
Di(beta-phenylisopropyl)amine,Phenethylamines,XIZFJFZATSHCAL-UHFFFAOYSA-N,XIZFJFZATSHCAL,CC(CC1=CC=CC=C1)NC(C)CC2=CC=CC=C2,4.794183695977742,3.921453030762148,4.794183695977742
Diacetylmorphine,Plants & extracts,GVGLGOZIDCSQPN-PVHGPHFFSA-N,GVGLGOZIDCSQPN,CC(OC1=C(O[C@@H]2[C@]34CCN(C)[C@@H]([C@@H]4C=C[C@@H]2OC(C)=O)C5)C3=C5C=C1)=O,3.355208416606339,2.8442720784775677,3.6934919198528786
Diazepam,Benzodiazepines,AAOVKJBEBIDNHE-UHFFFAOYSA-N,AAOVKJBEBIDNHE,CN1C2=C(C(C3=CC=CC=C3)=NCC1=O)C=C(Cl)C=C2,3.3716253780156737,2.9930811526471413,3.5927951125815234
Dibenzylpiperazine,Piperazine derivates,YPUGLZQRXQQCSX-UHFFFAOYSA-N,YPUGLZQRXQQCSX,N1(CC2=CC=CC=C2)CCN(CC3=CC=CC=C3)CC1,4.317018790218472,3.8628949798059775,4.49308275039557
Dibutylone,Cathinones,USEBIPUIVPERGC-UHFFFAOYSA-N,USEBIPUIVPERGC,O1COC2=C1C=CC(=C2)C(C(CC)N(C)C)=O,3.1380810530468897,2.719781322937363,3.383007973259955
Dichloroethcathinone,Cathinones,BIYFBWRLDKOYMU-UHFFFAOYSA-N,BIYFBWRLDKOYMU,CC(NCC)C(C1=CC=C(Cl)C(Cl)=C1)=O,3.2578922740705387,2.9868546537773986,3.4628842537571867
Diclazepam,Benzodiazepines,VPAYQWRBBOGGPY-UHFFFAOYSA-N,VPAYQWRBBOGGPY,CN1C2=C(C=C(C=C2)Cl)C(C3=C(Cl)C=CC=C3)=NCC1=O,3.1225115595192765,2.7150948519849556,3.4966300661587444
Diclofensine,Unknown,ZJDCGVDEEHWEIG-UHFFFAOYSA-N,ZJDCGVDEEHWEIG,ClC=1C=C(C=CC1Cl)C1CN(CC2=CC(=CC=C12)OC)C,3.417202142570274,2.8536308211018215,3.417202142570274
Didesmethylsibutramine,Unknown,WQSACWZKKZPCHN-UHFFFAOYSA-N,WQSACWZKKZPCHN,CC(C)CC(N)C1(CCC1)C1=CC=C(Cl)C=C1,4.202755005973119,3.0740025458924465,4.202755005973119
Diethylone,Cathinones,DWARVNWIBRHVMQ-UHFFFAOYSA-N,DWARVNWIBRHVMQ,CC(N(CC)CC)C(C1=CC=C(OCO2)C2=C1)=O,3.154065751788207,2.6939466409544455,3.661810267910098
Diethylpentylone,Cathinones,CUPSLSIMIHCVIA-UHFFFAOYSA-N,CUPSLSIMIHCVIA,CCCC(N(CC)CC)C(C1=CC=C(OCO2)C2=C1)=O,3.307969652679101,2.7550780529744703,3.936356754579305
Dieticyclidine,Arylcyclohexylamines,GRHWLIMQOFAGHA-UHFFFAOYSA-N,GRHWLIMQOFAGHA,C(C)N(C1(CCCCC1)C1=CC=CC=C1)CC,4.019295350457722,3.4862884448820433,4.019295350457722
Dihydrocodeine,Opioids,RBOXVHNMENFORY-DNJOTXNNSA-N,RBOXVHNMENFORY,O[C@@H]1[C@@H]2OC3=C(OC)C=CC4=C3[C@@]2([C@H]5CC1)CCN(C)[C@@H]5C4,3.1475559062867475,2.6414116306962923,3.2811312378870165
Dimetamine,Arylcyclohexylamines,VCEODKLEIJWHMI-UHFFFAOYSA-N,VCEODKLEIJWHMI,CN(C1(CCC(CC1)=O)C1=CC=C(C=C1)C)C,3.729682556282439,3.1467524828736297,3.729682556282439
Dimethocaine,Unknown,OWQIUQKMMPDHQQ-UHFFFAOYSA-N,OWQIUQKMMPDHQQ,O=C(OCC(C)(C)CN(CC)CC)C1=CC=C(N)C=C1,3.436941795685705,2.835651571950143,3.5220564015194062
Dimethylpentylone,Cathinones,PQTJKFUXRBKONZ-UHFFFAOYSA-N,PQTJKFUXRBKONZ,CCCC(N(C)C)C(C1=CC=C(OCO2)C2=C1)=O,3.1927510003113206,2.6932660218058477,3.5219977629369223
Diphenhydramine,Arylalkylamines,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,ZZVUWRFHKOJYTH,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,3.7943442132330616,3.1457803642972726,3.8788622236661228
Diphenidine,Piperidines & pyrrolidines,JQWJJJYHVHNXJH-UHFFFAOYSA-N,JQWJJJYHVHNXJH,C1(=CC=CC=C1)C(CC1=CC=CC=C1)N1CCCCC1,4.524186443826933,3.897267598086668,4.524186443826933
Dipipanone,Opioids,SVDHSZFEQYXRDC-UHFFFAOYSA-N,SVDHSZFEQYXRDC,C1(=CC=CC=C1)C(C(CC)=O)(CC(C)N1CCCCC1)C1=CC=CC=C1,4.5453297039719285,3.8297138623795624,4.5453297039719285
DiPT,Indolalkylamines,ZRVAAGAZUWXRIP-UHFFFAOYSA-N,ZRVAAGAZUWXRIP,CC(N(CCC1=CNC2=C1C=CC=C2)C(C)C)C,4.08109328516381,3.6672557472738774,4.412095695343791
Dipyanone,Opioids,LJIUPFDRFKFNJE-UHFFFAOYSA-N,LJIUPFDRFKFNJE,C1(=CC=CC=C1)C(C(CC)=O)(CC(C)N1CCCC1)C1=CC=CC=C1,4.408201545800327,3.6633069144411565,4.408201545800327
DL-4662,Cathinones,WZVCLFAACAERMB-UHFFFAOYSA-N,WZVCLFAACAERMB,CCCC(NCC)C(C1=CC=C(OC)C(OC)=C1)=O,3.4976490851489217,2.9879300233597137,3.922881684131203
DMAR,Unknown,NPILLHMQNMXXTL-UHFFFAOYSA-N,NPILLHMQNMXXTL,NC1=NC(C)C(C2=CC=C(C)C=C2)O1,3.2458815800281133,3.0178626973869207,3.2876154928093535
DMCPA,Unknown,HYVPPECPQRBJEQ-UHFFFAOYSA-N,HYVPPECPQRBJEQ,COC1=C(C=C(C(=C1)C)OC)C1C(C1)N,2.6892189064022958,2.223632142687637,2.6892189064022958
DMMA,Phenethylamines,BUWHCARWGYFQPE-UHFFFAOYSA-N,BUWHCARWGYFQPE,CC(NC)CC1=CC=C(OC)C(OC)=C1,3.3394647704964524,2.77785054233351,3.3394647704964524
DMPEA,Phenethylamines,ANOUKFYBOAKOIR-UHFFFAOYSA-N,ANOUKFYBOAKOIR,NCCC1=CC=C(OC)C(OC)=C1,2.412070451576712,2.2244230725283445,2.6855240441036297
DMT,Indolalkylamines,DMULVCHRPCFFGV-UHFFFAOYSA-N,DMULVCHRPCFFGV,N1C=C(C2=CC=CC=C12)CCN(C)C,3.5677480073681016,3.3973836803927346,4.18248567005326
DMXE,Arylcyclohexylamines,WIMLPRYZJQNQLE-UHFFFAOYSA-N,WIMLPRYZJQNQLE,C(C)NC1(C(CCCC1)=O)C=1C=C(C=CC1)C,3.6606470380191065,3.2447555919050752,3.7614430621329693
DOAM,Phenethylamines,VLJORLCVOAUUKM-UHFFFAOYSA-N,VLJORLCVOAUUKM,CC(N)CC1=CC(OC)=C(CCCCC)C=C1OC,3.240770378428763,2.5287510095634995,3.240770378428763
DOB,Phenethylamines,FXMWUTGUCAKGQL-UHFFFAOYSA-N,FXMWUTGUCAKGQL,CC(N)CC1=CC(OC)=C(Br)C=C1OC,2.5281354941528065,2.29823198104207,2.6855087420997967
DOBU,Phenethylamines,NGVDYAULSQKEGW-UHFFFAOYSA-N,NGVDYAULSQKEGW,CC(N)CC1=CC(OC)=C(CCCC)C=C1OC,3.1028557841830646,2.286258254982469,3.1028557841830646
DOC,Phenethylamines,ACRITBNCBMTINK-UHFFFAOYSA-N,ACRITBNCBMTINK,CC(N)CC1=CC(OC)=C(Cl)C=C1OC,2.305572701827944,2.0590557044422777,2.4589291786612404
DOC theophylline derivative,Arylalkylamines,CWRNNANKXUBLFV-UHFFFAOYSA-N,CWRNNANKXUBLFV,O=C(N1C)N(C)C2=C(N(CCNC(C)CC3=CC(OC)=C(Cl)C=C3OC)C=N2)C1=O,4.206144872539757,3.1785746239052064,4.239560801744943
DOET,Phenethylamines,HXJKWPGVENNMCC-UHFFFAOYSA-N,HXJKWPGVENNMCC,CC(N)CC1=CC(OC)=C(CC)C=C1OC,2.951553903765845,2.29789015679461,2.951553903765845
DOF,Phenethylamines,NRANUECGGQVXOT-UHFFFAOYSA-N,NRANUECGGQVXOT,CC(N)CC1=CC(OC)=C(F)C=C1OC,2.555763023437763,2.295582408363393,2.68285916942112
DOI,Phenethylamines,BGMZUEKZENQUJY-UHFFFAOYSA-N,BGMZUEKZENQUJY,CC(N)CC1=CC(OC)=C(I)C=C1OC,2.396729305368443,2.1761337310941142,2.563410492151841
DOIP,Phenethylamines,SPKSLAUXKHSASF-UHFFFAOYSA-N,SPKSLAUXKHSASF,CC(N)CC1=CC(OC)=C(C(C)C)C=C1OC,2.879329072060714,2.219518550599827,2.879329072060714
DOM,Phenethylamines,NTJQREUGJKIARY-UHFFFAOYSA-N,NTJQREUGJKIARY,CC(N)CC1=CC(OC)=C(C)C=C1OC,2.6641591230734343,2.1925778525445967,2.6641591230734343
DON,Phenethylamines,JQJRESSXOVAECC-UHFFFAOYSA-N,JQJRESSXOVAECC,COC1=C(C=C(C(=C1)[N+](=O)[O-])OC)CC(C)N,2.411186860786947,2.1327085932011323,2.822345296358963
DOPR,Phenethylamines,UEEAUFJYLUJWQJ-UHFFFAOYSA-N,UEEAUFJYLUJWQJ,CC(N)CC1=CC(OC)=C(CCC)C=C1OC,3.004199052382688,2.235668716866012,3.004199052382688
DOT,Phenethylamines,COBYBOVXXDQRAU-UHFFFAOYSA-N,COBYBOVXXDQRAU,CC(N)CC1=CC(OC)=C(SC)C=C1OC,2.951553903765845,2.29789015679461,2.951553903765845
Doxefazepam,Benzodiazepines,VOJLELRQLPENHL-UHFFFAOYSA-N,VOJLELRQLPENHL,ClC=1C=CC2=C(C(=NC(C(N2CCO)=O)O)C2=C(C=CC=C2)F)C1,2.6395492232041007,2.024635946550154,3.2701461457569847
DPT,Indolalkylamines,BOOQTIHIKDDPRW-UHFFFAOYSA-N,BOOQTIHIKDDPRW,CCCN(CCC1=CNC2=C1C=CC=C2)CCC,4.089909792304187,3.7560202147948574,4.419070756756682
EADB-FUBINACA,Cannabinoids,WWIKBKIMULPMKD-HXUWFJFHSA-N,WWIKBKIMULPMKD,C(C)NC([C@H](C(C)(C)C)NC(=O)C1=NN(C2=CC=CC=C12)CC1=CC=C(C=C1)F)=O,3.5604499131928122,2.828633329590802,3.5604499131928122
EAM-2201,Cannabinoids,NSCXPXDWLZORPX-UHFFFAOYSA-N,NSCXPXDWLZORPX,O=C(C1=C2C=CC=CC2=C(CC)C=C1)C3=CN(CCCCCF)C4=C3C=CC=C4,4.654507869891143,3.921073992381011,4.654507869891143
Ecgonine methyl ester,Unknown,QIQNNBXHAYSQRY-UYXSQOIJSA-N,QIQNNBXHAYSQRY,O[C@@H]1[C@@H]([C@H]2CC[C@@H](C1)N2C)C(=O)OC,2.947853002139822,2.7527874252997124,3.149016755132724
EDMB-4en-PINACA,Cannabinoids,GVDSDIBXUGMOMD-UHFFFAOYSA-N,GVDSDIBXUGMOMD,CC(C(C(=O)OCC)NC(=O)C1=NN(C2=CC=CC=C12)CCCC=C)(C)C,3.2987183831994997,2.7205609483816677,3.560921182207828
EDMB-PINACA,Cannabinoids,HKKKXLZFEZHHFC-GOSISDBHSA-N,HKKKXLZFEZHHFC,CC([C@@H](C(=O)OCC)NC(=O)C1=NN(C2=CC=CC=C12)CCCCC)(C)C,3.2987183831994997,2.7205609483816677,3.560921182207828
EFLEA,Phenethylamines,FFWSMXIWPUUWNK-UHFFFAOYSA-N,FFWSMXIWPUUWNK,ON(C(C)CC1=CC=C2OCCOC2=C1)C,2.9831207453346504,2.5368572732471617,2.997855785782067
EG-018,Cannabinoids,FJMMDJDPNLZYLA-UHFFFAOYSA-N,FJMMDJDPNLZYLA,O=C(C1=C2C=CC=CC2=CC=C1)C3=CC4=C(C=C3)N(CCCCC)C5=C4C=CC=C5,4.950165996959063,4.282667242497958,4.950165996959063
EG-2201,Cannabinoids,LYDDINAZVHIBGP-UHFFFAOYSA-N,LYDDINAZVHIBGP,FCCCCCN1C2=CC=CC=C2C2=C1C=CC(=C2)C(=O)C1=CC=CC2=CC=CC=C12,4.805777949708983,4.153004708317487,4.805777949708983
Elfazepam,Benzodiazepines,BSPSXMXQKZZNFP-UHFFFAOYSA-N,BSPSXMXQKZZNFP,ClC=1C=CC2=C(C(=NCC(N2CCS(=O)(=O)CC)=O)C2=C(C=CC=C2)F)C1,2.511092798216604,2.073244107204325,2.8735012428658995
Eluxadoline,Unknown,QFNHIDANIVGXPE-FNZWTVRRSA-N,QFNHIDANIVGXPE,O=C(O)C1=CC(CN(C([C@@H](N)CC2=C(C)C=C(C(N)=O)C=C2C)=O)[C@H](C3=NC(C4=CC=CC=C4)=CN3)C)=CC=C1OC,4.18190177675845,3.1697484413689585,4.431183306799978
EMB-FUBINACA,Cannabinoids,YOECWCNJGHHTMN-IBGZPJMESA-N,YOECWCNJGHHTMN,CC(C)[C@@H](C(OCC)=O)NC(C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)=O,3.2186406970407484,2.644283140914502,3.4529049691827205
Embutramide,Opioids,LMBMDLOSPKIWAP-UHFFFAOYSA-N,LMBMDLOSPKIWAP,O=C(NCC(C1=CC=CC(OC)=C1)(CC)CC)CCCO,3.1286033590188325,2.624381896170902,3.1286033590188325
Emetine,Unknown,AUVVAXYIELKVAI-CKBKHPSWSA-N,AUVVAXYIELKVAI,[H][C@]1(C[C@@]2([H])C[C@]3([H])N(CCC4=CC(OC)=C(OC)C=C34)C[C@]2([H])CC)NCCC2=CC(OC)=C(OC)C=C12,4.428778120415249,3.7407205639368075,4.569913388511495
Ephedrine,Phenethylamines,KWGRBVOPPLSCSI-WPRPVWTQSA-N,KWGRBVOPPLSCSI,C[C@H](NC)[C@@H](C1=CC=CC=C1)O,3.573848844802928,2.787234337788183,3.573848844802928
Ephenidine,Phenethylamines,IGFZMQXEKIZPDR-UHFFFAOYSA-N,IGFZMQXEKIZPDR,CCNC(CC1=CC=CC=C1)C2=CC=CC=C2,4.476345779484102,3.5764221256317636,4.476345779484102
Ephinazone,Unknown,FDLSIWMJFKVWIC-UHFFFAOYSA-N,FDLSIWMJFKVWIC,C(C)C1=NC2=CC=CC=C2C(N1C1=CC=CC=C1)=O,3.9236987449110488,3.3578955397173176,3.9236987449110488
Epirocaine,Unknown,VXJABHHJLXLNMP-UHFFFAOYSA-N,VXJABHHJLXLNMP,O=C(OCC(NCCC)(C)C)C1=CC=CC=C1,3.2533796894531486,2.9298647740425734,3.680201660069498
EPT,Indolalkylamines,LCDYRMYSOIVPRS-UHFFFAOYSA-N,LCDYRMYSOIVPRS,CCCN(CC)CCC1=CNC2=C1C=CC=C2,3.9183585234828615,3.611860366964365,4.26916998845235
Ergocristine,Indolalkylamines,HEFIYUQVAZFDEE-MKTPKCENSA-N,HEFIYUQVAZFDEE,C(C1=CC=CC=C1)[C@@H]1N2C([C@](O[C@]2([C@@H]2CCCN2C1=O)O)(C(C)C)NC(=O)[C@H]1CN([C@@H]2CC=3C4=C(C2=C1)C=CC=C4NC3)C)=O,3.8418043363734276,3.109669054307775,4.032705424989869
Ergonovine,Indolalkylamines,WVVSZNPYNCNODU-XTQGRXLLSA-N,WVVSZNPYNCNODU,OC[C@H](C)NC(=O)[C@H]1CN([C@@H]2CC=3C4=C(C2=C1)C=CC=C4NC3)C,3.7783112349475516,3.1809150564873887,3.846621231330899
Ergotamine,Indolalkylamines,XCGSFFUVFURLIX-VFGNJEKYSA-N,XCGSFFUVFURLIX,C(C1=CC=CC=C1)[C@H]1C(N2[C@H]([C@]3(N1C([C@](O3)(C)NC(=O)[C@H]3CN([C@@H]1CC=4C5=C(C1=C3)C=CC=C5NC4)C)=O)O)CCC2)=O,3.9366640423111217,3.1271888319999825,4.121875945173015
Escaline,Phenethylamines,RHOGRSKNWDNCDN-UHFFFAOYSA-N,RHOGRSKNWDNCDN,NCCC1=CC(OC)=C(OCC)C(OC)=C1,2.4262040276283487,1.7584806363234877,2.77395777502658
Estazolam,Benzodiazepines,CDCHDCWJMGXXRH-UHFFFAOYSA-N,CDCHDCWJMGXXRH,ClC=1C=CC2=C(C(=NCC=3N2C=NN3)C3=CC=CC=C3)C1,3.6813968502227086,3.290552859656446,3.872943272551809
Etaqualone,Unknown,UVTJKLLUVOTSOB-UHFFFAOYSA-N,UVTJKLLUVOTSOB,O=C1N(C2=CC=CC=C2CC)C(C)=NC3=C1C=CC=C3,3.9051851533304767,3.326618137983366,3.907967122708845
Etazene,Opioids,BMLPNUNXHUGDOI-UHFFFAOYSA-N,BMLPNUNXHUGDOI,C(C)OC1=CC=C(C=C1)CC1=NC2=C(N1CCN(CC)CC)C=CC=C2,4.546407298965029,3.901745223388933,4.631324979968966
Ethiopropamine,Arylalkylamines,COWHJKNRHICALL-UHFFFAOYSA-N,COWHJKNRHICALL,C(C)NC(CC=1SC=CC1)C,4.301558732226399,2.7473907571339593,4.301558732226399
ETH-LAD,Indolalkylamines,MYNOUXJLOHVSMQ-DNVCBOLYSA-N,MYNOUXJLOHVSMQ,O=C([C@H](C=C12)CN(CC)[C@]2([H])CC3=CNC4=C3C1=CC=C4)N(CC)CC,4.2014299701614926,3.5219553342886893,4.249211533347436
Ethoxyacetyl Fentanyl,Opioids,FBHHANTXGLSYKL-UHFFFAOYSA-N,FBHHANTXGLSYKL,O=C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)COCC,4.176018708010848,3.418797670899786,4.176018708010848
Ethyl-(1-phenylbutan-2-yl)amine,Phenethylamines,KHWYSUBVXWWBRB-UHFFFAOYSA-N,KHWYSUBVXWWBRB,CCC(NCC)CC1=CC=CC=C1,4.046276552565441,3.2205196061015937,4.046276552565441
Ethylbenzyl-CYBINACA,Cannabinoids,IIBFPPSORLUHNT-UHFFFAOYSA-N,IIBFPPSORLUHNT,O=C(C1=NN(CCCCC#N)C2=C1C=CC=C2)NC(C3=CC=CC=C3)CC,3.808075074061672,3.165534771058188,3.808075074061672
Ethylcathinone,Cathinones,LYMHIBZGTAPASQ-UHFFFAOYSA-N,LYMHIBZGTAPASQ,CC(NCC)C(C1=CC=CC=C1)=O,3.3292813237127987,3.050215531686727,3.4756073098818296
Ethylindole norfentanyl,Opioids,KZRCNDCSHLUGKI-UHFFFAOYSA-N,KZRCNDCSHLUGKI,O=C(CC)N(C1CCN(CCC2=CNC3=C2C=CC=C3)CC1)C4=CC=CC=C4,4.459926310855732,3.859055590613261,4.496419388318957
Ethylisopropyltryptamine,Indolalkylamines,HQZLBYMOYCJZRF-UHFFFAOYSA-N,HQZLBYMOYCJZRF,CC(N(CC)CCC1=CNC2=C1C=CC=C2)C,3.6914080964698965,3.418650836983587,4.248805755975367
Ethylmorphine,Opioids,OGDVEMNWJVYAJL-LEPYJNQMSA-N,OGDVEMNWJVYAJL,C(C)OC1=CC=C2C[C@H]3N(CC[C@]45[C@@H](OC1=C52)[C@H](C=C[C@@H]34)O)C,3.729809234606672,2.9666164134045725,3.729809234606672
Ethylone,Cathinones,MJEMIOXXNCZZFK-UHFFFAOYSA-N,MJEMIOXXNCZZFK,CC(NCC)C(C1=CC=C(OCO2)C2=C1)=O,2.8918712662498307,2.6382447811156933,3.4601745411293305
Ethylphenidate,Piperidines & pyrrolidines,AIVSIRYZIBXTMM-UHFFFAOYSA-N,AIVSIRYZIBXTMM,CCOC(=O)C(C1CCCCN1)C2=CC=CC=C2,3.163818691346445,2.537736542397367,3.249011192358937
Eticyclidine,Arylcyclohexylamines,IFYLVUHLOOCYBG-UHFFFAOYSA-N,IFYLVUHLOOCYBG,CCNC1(CCCCC1)C2=CC=CC=C2,4.091411098080446,3.3947722048615745,4.091411098080446
Etilamfetamine,Phenethylamines,YAGBSNMZQKEFCO-UHFFFAOYSA-N,YAGBSNMZQKEFCO,CCNC(C)CC1=CC=CC=C1,3.9590751124696903,3.125288249910502,3.9590751124696903
Etizolam,Benzodiazepines,VMZUTJCNQWMAGF-UHFFFAOYSA-N,VMZUTJCNQWMAGF,ClC1=CC=CC=C1C2=NCC3=NN=C(C)N3C4=C2C=C(CC)S4,3.89295490495425,3.4535793397378693,3.9959359660375204
Etonitazene,Opioids,PXDBZSCGSQSKST-UHFFFAOYSA-N,PXDBZSCGSQSKST,C(C)N(CCN1C(=NC2=C1C=CC(=C2)[N+](=O)[O-])CC2=CC=C(C=C2)OCC)CC,3.95139735705862,3.4393358219544403,4.082267700879287
Etorphine,Opioids,CAHCBJPUTCKATP-FAWZKKEFSA-N,CAHCBJPUTCKATP,O[C@](C)(CCC)[C@H]1C[C@@]23[C@]45CCN([C@@H]2CC=2C=CC(=C(O[C@H]4[C@]1(C=C3)OC)C25)O)C,3.421887822238439,2.7170400046023606,3.62719081874053
Eutylone,Cathinones,YERSNXHEOIYEGX-UHFFFAOYSA-N,YERSNXHEOIYEGX,O1COC2=C1C=CC(=C2)C(C(CC)NCC)=O,3.102501452868715,2.6956484805236167,3.553979846711965
FAB-144,Cannabinoids,LVJQJRUAYXVEGN-UHFFFAOYSA-N,LVJQJRUAYXVEGN,O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)C3C(C)(C)C3(C)C,3.732209249978658,3.2734903763313623,3.732209249978658
FDU-NNEI,Cannabinoids,XYSIFMHZXZATQO-UHFFFAOYSA-N,XYSIFMHZXZATQO,O=C(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)NC4=C5C=CC=CC5=CC=C4,4.3296611908824385,3.624185881765213,4.3296611908824385
FDU-PB-22,Cannabinoids,RCEKSVIFQKKFLS-UHFFFAOYSA-N,RCEKSVIFQKKFLS,O=C(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)OC4=C5C=CC=CC5=CC=C4,3.6706440304136665,3.1977857356511983,3.6706440304136665
Fenethylline,Phenethylamines,NMCHYWGKBADVMK-UHFFFAOYSA-N,NMCHYWGKBADVMK,O=C(N1C)N(C)C2=C(N(CCNC(C)CC3=CC=CC=C3)C=N2)C1=O,4.012384446436213,3.3734740332251145,4.012384446436213
Fenozolone,Unknown,RXOIEVSUURELPG-UHFFFAOYSA-N,RXOIEVSUURELPG,C(C)NC=1OC(C(N1)=O)C1=CC=CC=C1,3.049607384862664,2.749014637228775,3.1884033066729205
Fenproporex,Phenethylamines,IQUFSXIQAFPIMR-UHFFFAOYSA-N,IQUFSXIQAFPIMR,C1(=CC=CC=C1)CC(C)NCCC#N,3.69169622014045,3.096833498045551,3.69169622014045
Fentanyl,Opioids,PJMPHNIQZUBGLI-UHFFFAOYSA-N,PJMPHNIQZUBGLI,C1(=CC=CC=C1)N(C(CC)=O)C1CCN(CC1)CCC1=CC=CC=C1,4.199422847928488,3.6114890708057668,4.199422847928488
Fentanyl Carbamate,Opioids,BPXVEPWHWMDYCP-UHFFFAOYSA-N,BPXVEPWHWMDYCP,O=C(OCC)N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2,3.591320181675393,3.0665639983117003,3.848595238645416
Fentanyl Methyl Carbamate,Opioids,TYJLZTSBOBABQF-UHFFFAOYSA-N,TYJLZTSBOBABQF,O=C(OC)N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3,3.4923720172648554,2.9588274013725853,3.7474054176887197
